tree,SPR_dist,order,dist_type,dist_value
4,60,2,HOP,81
4,65,2,HOP,82
4,70,2,HOP,82
4,75,2,HOP,83
4,80,2,HOP,84
4,85,2,HOP,85
4,90,2,HOP,85
4,95,2,HOP,87
4,100,2,HOP,88
4,5,3,HOP,16
4,10,3,HOP,35
4,15,3,HOP,37
4,20,3,HOP,48
4,25,3,HOP,56
4,30,3,HOP,61
4,35,3,HOP,67
4,40,3,HOP,68
4,45,3,HOP,69
4,50,3,HOP,74
4,55,3,HOP,78
4,60,3,HOP,80
4,65,3,HOP,81
4,70,3,HOP,82
4,75,3,HOP,82
4,80,3,HOP,87
4,85,3,HOP,88
4,90,3,HOP,87
4,95,3,HOP,88
4,100,3,HOP,88
4,5,4,HOP,11
4,10,4,HOP,22
4,15,4,HOP,27
4,20,4,HOP,41
4,25,4,HOP,46
4,30,4,HOP,54
4,35,4,HOP,58
4,40,4,HOP,64
4,45,4,HOP,70
4,50,4,HOP,75
4,55,4,HOP,74
4,60,4,HOP,76
4,65,4,HOP,78
4,70,4,HOP,78
4,75,4,HOP,82
4,80,4,HOP,84
4,85,4,HOP,85
4,90,4,HOP,85
4,95,4,HOP,85
4,100,4,HOP,87
4,5,5,HOP,13
4,10,5,HOP,24
4,15,5,HOP,26
4,20,5,HOP,37
4,25,5,HOP,48
4,30,5,HOP,58
4,35,5,HOP,64
4,40,5,HOP,67
4,45,5,HOP,68
4,50,5,HOP,70
4,55,5,HOP,71
4,60,5,HOP,75
4,65,5,HOP,75
4,70,5,HOP,78
4,75,5,HOP,81
4,80,5,HOP,84
4,85,5,HOP,85
4,90,5,HOP,83
4,95,5,HOP,84
4,100,5,HOP,87
4,5,6,HOP,19
4,10,6,HOP,31
4,15,6,HOP,33
4,20,6,HOP,45
4,25,6,HOP,53
4,30,6,HOP,58
4,35,6,HOP,67
4,40,6,HOP,69
4,45,6,HOP,71
4,50,6,HOP,75
4,55,6,HOP,75
4,60,6,HOP,81
4,65,6,HOP,80
4,70,6,HOP,81
4,75,6,HOP,80
4,80,6,HOP,81
4,85,6,HOP,88
4,90,6,HOP,87
4,95,6,HOP,88
4,100,6,HOP,89
4,5,7,HOP,12
4,10,7,HOP,22
4,15,7,HOP,24
4,20,7,HOP,46
4,25,7,HOP,51
4,30,7,HOP,58
4,35,7,HOP,61
4,40,7,HOP,64
4,45,7,HOP,66
4,50,7,HOP,70
4,55,7,HOP,69
4,60,7,HOP,71
4,65,7,HOP,72
4,70,7,HOP,72
4,75,7,HOP,74
4,80,7,HOP,80
4,85,7,HOP,79
4,90,7,HOP,79
4,95,7,HOP,79
4,100,7,HOP,81
4,5,8,HOP,15
4,10,8,HOP,35
4,15,8,HOP,37
4,20,8,HOP,47
4,25,8,HOP,53
4,30,8,HOP,60
4,35,8,HOP,65
4,40,8,HOP,68
4,45,8,HOP,70
4,50,8,HOP,73
4,55,8,HOP,75
4,60,8,HOP,78
4,65,8,HOP,80
4,70,8,HOP,80
4,75,8,HOP,81
4,80,8,HOP,83
4,85,8,HOP,84
4,90,8,HOP,81
4,95,8,HOP,84
4,100,8,HOP,86
4,5,9,HOP,9
4,10,9,HOP,21
4,15,9,HOP,30
4,20,9,HOP,36
4,25,9,HOP,45
4,30,9,HOP,53
4,35,9,HOP,59
4,40,9,HOP,64
4,45,9,HOP,66
4,50,9,HOP,71
4,55,9,HOP,72
4,60,9,HOP,74
4,65,9,HOP,75
4,70,9,HOP,78
4,75,9,HOP,79
4,80,9,HOP,80
4,85,9,HOP,82
4,90,9,HOP,82
4,95,9,HOP,83
4,100,9,HOP,85
4,5,10,HOP,16
4,10,10,HOP,28
4,15,10,HOP,32
4,20,10,HOP,42
4,25,10,HOP,50
4,30,10,HOP,55
4,35,10,HOP,60
4,40,10,HOP,64
4,45,10,HOP,64
4,50,10,HOP,70
4,55,10,HOP,70
4,60,10,HOP,76
4,65,10,HOP,77
4,70,10,HOP,76
4,75,10,HOP,77
4,80,10,HOP,77
4,85,10,HOP,80
4,90,10,HOP,79
4,95,10,HOP,81
4,100,10,HOP,84
5,5,1,RF,54
5,10,1,RF,94
5,15,1,RF,104
5,20,1,RF,110
5,25,1,RF,130
5,30,1,RF,138
5,35,1,RF,148
5,40,1,RF,148
5,45,1,RF,150
5,50,1,RF,156
5,55,1,RF,162
5,60,1,RF,168
5,65,1,RF,166
5,70,1,RF,172
5,75,1,RF,174
5,80,1,RF,174
5,85,1,RF,176
5,90,1,RF,176
5,95,1,RF,176
5,100,1,RF,180
5,5,1,HOP,16
5,10,1,HOP,35
5,15,1,HOP,47
5,20,1,HOP,53
5,25,1,HOP,62
5,30,1,HOP,64
5,35,1,HOP,69
5,40,1,HOP,68
5,45,1,HOP,68
5,50,1,HOP,73
5,55,1,HOP,76
5,60,1,HOP,80
5,65,1,HOP,78
5,70,1,HOP,79
5,75,1,HOP,83
5,80,1,HOP,83
5,85,1,HOP,83
5,90,1,HOP,82
5,95,1,HOP,82
5,100,1,HOP,81
5,5,2,HOP,10
5,10,2,HOP,24
5,15,2,HOP,30
5,20,2,HOP,42
5,25,2,HOP,47
5,30,2,HOP,50
5,35,2,HOP,52
5,40,2,HOP,54
5,45,2,HOP,58
5,50,2,HOP,61
5,55,2,HOP,66
5,60,2,HOP,70
5,65,2,HOP,70
5,70,2,HOP,76
5,75,2,HOP,79
5,80,2,HOP,80
5,85,2,HOP,80
5,90,2,HOP,80
5,95,2,HOP,80
5,100,2,HOP,82
5,5,3,HOP,10
5,10,3,HOP,30
5,15,3,HOP,37
5,20,3,HOP,44
5,25,3,HOP,57
5,30,3,HOP,58
5,35,3,HOP,62
5,40,3,HOP,61
5,45,3,HOP,62
5,50,3,HOP,64
5,55,3,HOP,69
5,60,3,HOP,70
5,65,3,HOP,73
5,70,3,HOP,76
5,75,3,HOP,79
5,80,3,HOP,78
5,85,3,HOP,80
5,90,3,HOP,83
5,95,3,HOP,84
5,100,3,HOP,85
5,5,4,HOP,22
5,10,4,HOP,33
5,15,4,HOP,38
5,20,4,HOP,45
5,25,4,HOP,55
5,30,4,HOP,60
5,35,4,HOP,67
5,40,4,HOP,64
5,45,4,HOP,66
5,50,4,HOP,69
5,55,4,HOP,73
5,60,4,HOP,77
5,65,4,HOP,74
5,70,4,HOP,75
5,75,4,HOP,79
5,80,4,HOP,80
5,85,4,HOP,83
5,90,4,HOP,83
5,95,4,HOP,82
5,100,4,HOP,82
5,5,5,HOP,19
5,10,5,HOP,31
5,15,5,HOP,44
5,20,5,HOP,47
5,25,5,HOP,55
5,30,5,HOP,56
5,35,5,HOP,61
5,40,5,HOP,64
5,45,5,HOP,65
5,50,5,HOP,70
5,55,5,HOP,73
5,60,5,HOP,75
5,65,5,HOP,73
5,70,5,HOP,76
5,75,5,HOP,79
5,80,5,HOP,79
5,85,5,HOP,82
5,90,5,HOP,83
5,95,5,HOP,83
5,100,5,HOP,84
5,5,6,HOP,5
5,10,6,HOP,17
5,15,6,HOP,31
5,20,6,HOP,41
5,25,6,HOP,47
5,30,6,HOP,51
5,35,6,HOP,55
5,40,6,HOP,59
5,45,6,HOP,60
5,50,6,HOP,63
5,55,6,HOP,69
5,60,6,HOP,72
5,65,6,HOP,71
5,70,6,HOP,76
5,75,6,HOP,79
5,80,6,HOP,78
5,85,6,HOP,78
5,90,6,HOP,81
5,95,6,HOP,81
5,100,6,HOP,84
5,5,7,HOP,17
